kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K00752.01","CONFIRMED","CANDIDATE",9.48803557,2.9575,2.26,615.8,35.80
"K00752.02","CONFIRMED","CANDIDATE",54.4183827,4.507,2.83,874.8,25.80
"K00753.01","CANDIDATE","CANDIDATE",19.89913995,1.7822,14.6,10829,76.30
"K00754.01","FALSE POSITIVE","FALSE POSITIVE",1.736952453,2.40641,33.46,8079.2,505.60
"K00755.01","CONFIRMED","CANDIDATE",2.525591777,1.6545,2.75,603.3,40.90
"K00756.01","CONFIRMED","CANDIDATE",11.09432054,4.5945,3.9,1517.5,66.50
"K00756.02","CONFIRMED","CANDIDATE",4.13443512,3.1402,2.77,686,40.20
"K00756.03","CONFIRMED","CANDIDATE",2.56658897,2.429,1.59,226.5,15.00
"K00114.01","FALSE POSITIVE","FALSE POSITIVE",7.36178958,5.022,39.21,233.7,47.70
"K00757.01","CONFIRMED","CANDIDATE",16.06864674,3.5347,5.76,4914.3,161.90
"K00001.01","CONFIRMED","CANDIDATE",2.470613377,1.74319,13.04,14230.9,4304.30
"K00002.01","CONFIRMED","CANDIDATE",2.204735417,3.88864,16.1,6674.7,5945.90
"K00010.01","CONFIRMED","CANDIDATE",3.522498429,3.19843,14.59,9145.7,1741.50
"K00112.02","CONFIRMED","CANDIDATE",3.709214104,2.6302,1.16,131.1,50.60